Attaching 96 probes...
Begin!
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/rbac/rolebinding/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/rbac/clusterrole/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/rbac/clusterrolebinding/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/scheduling/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/scheduling/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/scheduling/priorityclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/admissionregistration/validatingwebhookconfiguration/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/pod/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/batch/cronjob/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/certificates/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/certificates/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/certificates/certificates/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/extensions/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/extensions/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/networking/ingress/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/policy/rest.(*RESTStorageProvider).NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/policy/rest.RESTStorageProvider.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/policy/poddisruptionbudget/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/scheduling/priorityclass/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/csinode/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/apps/statefulset/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/apps/statefulset/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/rbac/rolebinding/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/rbac/clusterrole/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/csinode/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/csidriver/storage.NewStorage
20008 kube-apiserver k8s.io/kubernetes/vendor/k8s.io/kube-aggregator/pkg/registry/apiservice/rest.NewRESTStorage
20008 kube-apiserver k8s.io/kubernetes/vendor/k8s.io/kube-aggregator/pkg/registry/apiservice/etcd.NewREST
20008 kube-apiserver k8s.io/kubernetes/vendor/k8s.io/kube-aggregator/pkg/registry/apiservice/etcd.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/core/service/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/policy/podsecuritypolicy/storage.NewREST
20008 kube-apiserver k8s.io/kubernetes/pkg/registry/storage/volumeattachment/storage.NewStorage
